estado,cidade,cidade_nome,mes,minima,maxima,precipitacao,link
AC,6377,Acrelândia,Janeiro,23°,29°,298,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Fevereiro,23°,28°,286,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Março,23°,28°,290,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Abril,22°,29°,210,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Maio,21°,29°,107,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Junho,20°,31°,38,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Julho,20°,32°,24,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Agosto,22°,35°,42,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Setembro,24°,35°,97,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Outubro,23°,33°,169,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Novembro,23°,31°,233,https://www.climatempo.com.br/climatologia/6377/ac
AC,6377,Acrelândia,Dezembro,23°,29°,252,https://www.climatempo.com.br/climatologia/6377/ac
AC,4883,Assis Brasil,Janeiro,22°,29°,243,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Fevereiro,22°,28°,247,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Março,22°,28°,214,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Abril,21°,29°,167,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Maio,20°,29°,80,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Junho,19°,30°,22,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Julho,19°,31°,22,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Agosto,21°,34°,35,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Setembro,23°,34°,84,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Outubro,23°,33°,145,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Novembro,23°,31°,203,https://www.climatempo.com.br/climatologia/4883/ac
AC,4883,Assis Brasil,Dezembro,22°,29°,235,https://www.climatempo.com.br/climatologia/4883/ac
AC,5496,Brasiléia,Janeiro,23°,29°,251,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Fevereiro,22°,28°,236,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Março,22°,28°,215,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Abril,22°,29°,152,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Maio,20°,29°,70,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Junho,19°,30°,28,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Julho,19°,31°,21,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Agosto,21°,34°,41,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Setembro,23°,35°,89,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Outubro,23°,33°,135,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Novembro,23°,31°,206,https://www.climatempo.com.br/climatologia/5496/ac
AC,5496,Brasiléia,Dezembro,23°,29°,222,https://www.climatempo.com.br/climatologia/5496/ac
AC,6,Rio Branco,Janeiro,21°,31°,289,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Fevereiro,21°,31°,285,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Março,21°,31°,230,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Abril,21°,31°,190,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Maio,19°,31°,93,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Junho,18°,30°,32,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Julho,17°,31°,44,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Agosto,17°,33°,38,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Setembro,19°,33°,90,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Outubro,21°,33°,171,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Novembro,21°,32°,221,https://www.climatempo.com.br/climatologia/6/ac
AC,6,Rio Branco,Dezembro,21°,31°,265,https://www.climatempo.com.br/climatologia/6/ac
AL,5690,Anadia,Janeiro,20°,30°,50,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Fevereiro,21°,30°,55,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Março,21°,30°,94,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Abril,20°,28°,142,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Maio,20°,26°,168,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Junho,19°,24°,204,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Julho,18°,23°,178,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Agosto,18°,23°,116,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Setembro,18°,25°,76,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Outubro,19°,28°,42,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Novembro,20°,30°,28,https://www.climatempo.com.br/climatologia/5690/al
AL,5690,Anadia,Dezembro,20°,30°,33,https://www.climatempo.com.br/climatologia/5690/al
AL,817,Arapiraca,Janeiro,22°,31°,39,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Fevereiro,23°,31°,37,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Março,23°,31°,66,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Abril,22°,29°,89,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Maio,21°,27°,111,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Junho,21°,25°,128,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Julho,20°,25°,108,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Agosto,20°,25°,71,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Setembro,20°,26°,45,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Outubro,21°,29°,26,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Novembro,22°,30°,19,https://www.climatempo.com.br/climatologia/817/al
AL,817,Arapiraca,Dezembro,22°,31°,26,https://www.climatempo.com.br/climatologia/817/al
AL,8,Maceió,Janeiro,22°,30°,78,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Fevereiro,23°,30°,88,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Março,23°,30°,195,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Abril,23°,30°,269,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Maio,22°,29°,382,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Junho,21°,28°,332,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Julho,21°,27°,274,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Agosto,20°,27°,155,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Setembro,21°,28°,130,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Outubro,21°,29°,74,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Novembro,22°,30°,32,https://www.climatempo.com.br/climatologia/8/al
AL,8,Maceió,Dezembro,22°,30°,63,https://www.climatempo.com.br/climatologia/8/al
AL,5344,Água Branca,Janeiro,23°,34°,46,https://www.climatempo.com.br/climatologia/5344/al
